request_number,scope,variant,sample_id,dataset,provider,model,attempt,status,http_status,error_type,error_message,input_tokens,cache_hit_input_tokens,cache_miss_input_tokens,output_tokens,total_tokens,latency_ms,estimated_cost_usd,requested_at_utc,completed_at_utc
122,pilot,A,fpb-full-002866,fpb,upstage,solar-pro3,1,success,200,,,141,0,141,3,144,982.19,2.295e-05,2026-07-21T02:38:46.692272+00:00,2026-07-21T02:38:47.674379+00:00
123,pilot,A,fpb-full-002868,fpb,upstage,solar-pro3,1,success,200,,,169,0,169,3,172,406.62,2.715e-05,2026-07-21T02:38:47.995495+00:00,2026-07-21T02:38:48.402123+00:00
124,pilot,A,fpb-full-002887,fpb,upstage,solar-pro3,1,success,200,,,178,0,178,3,181,526.37,2.85e-05,2026-07-21T02:38:48.724777+00:00,2026-07-21T02:38:49.251179+00:00
125,pilot,A,fpb-full-002895,fpb,upstage,solar-pro3,1,success,200,,,178,0,178,3,181,945.35,2.85e-05,2026-07-21T02:38:49.567343+00:00,2026-07-21T02:38:50.512928+00:00
126,pilot,A,fpb-full-002935,fpb,upstage,solar-pro3,1,success,200,,,183,0,183,3,186,404.48,2.925e-05,2026-07-21T02:38:50.829601+00:00,2026-07-21T02:38:51.234280+00:00
127,pilot,A,fpb-full-002976,fpb,upstage,solar-pro3,1,success,200,,,166,0,166,3,169,415.11,2.67e-05,2026-07-21T02:38:51.548307+00:00,2026-07-21T02:38:51.962994+00:00
128,pilot,A,fpb-full-003002,fpb,upstage,solar-pro3,1,success,200,,,158,0,158,3,161,401.79,2.55e-05,2026-07-21T02:38:52.277122+00:00,2026-07-21T02:38:52.678782+00:00
129,pilot,A,fpb-full-003043,fpb,upstage,solar-pro3,1,success,200,,,142,0,142,3,145,393.97,2.31e-05,2026-07-21T02:38:52.998982+00:00,2026-07-21T02:38:53.392665+00:00
130,pilot,A,fpb-full-003080,fpb,upstage,solar-pro3,1,success,200,,,140,0,140,3,143,389.42,2.28e-05,2026-07-21T02:38:53.711991+00:00,2026-07-21T02:38:54.101051+00:00
131,pilot,A,fpb-full-003085,fpb,upstage,solar-pro3,1,success,200,,,156,0,156,3,159,422.85,2.52e-05,2026-07-21T02:38:54.418734+00:00,2026-07-21T02:38:54.841834+00:00
132,pilot,A,fpb-full-003086,fpb,upstage,solar-pro3,1,success,200,,,146,0,146,3,149,972.19,2.37e-05,2026-07-21T02:38:55.157688+00:00,2026-07-21T02:38:56.130671+00:00
